ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000028,439.09693888947726,-2.790291348017211,0.2481412351627807,-11.244770931307645,2.4573375860727402e-29,4.1541606935839936e-27
ENSMUSG00000000093,24.23382817112891,1.0229142249643342,0.34467702806228323,2.967747026005729,0.0029999111842856883,0.01717870391256127
ENSMUSG00000000247,14.00614795745427,-3.2493874892206436,0.6482208006243607,-5.012778803288727,5.364955816492144e-7,8.613105608311535e-6
ENSMUSG00000000486,38.36190723871913,1.6815710901409224,0.534341253895995,3.1469984357004672,0.0016495584432709937,0.01051453962277054
ENSMUSG00000000489,128.5344055396765,2.5805365187365283,0.6462252249223862,3.9932463469627937,6.517479379460823e-5,6.573647355755004e-4
ENSMUSG00000000530,1113.766851485689,1.0399907809106381,0.20760449735827025,5.009480980153769,5.457701988018501e-7,8.747802886630303e-6
ENSMUSG00000000751,2039.545127503836,-1.439762730230955,0.1317369032079613,-10.929076782366213,8.36955805733619e-28,1.3138213398099405e-25
ENSMUSG00000000782,46.36870813615488,1.378030032345124,0.3708745332831959,3.715623232865317,2.0270344135134288e-4,0.0017553727524028944
ENSMUSG00000000791,5.513703173616277,2.34949916672173,0.9027231759381066,2.60267956927121,0.0092498361024132,0.042304655911553045
ENSMUSG00000001016,983.9349076441501,-1.1066767670980375,0.18233385366422694,-6.069507910121917,1.2830277280999362e-9,3.075153633628682e-8
ENSMUSG00000001025,102.74190149939878,1.2235235703838636,0.30765947006852146,3.9768760250135067,6.982654526449414e-5,6.996450044510788e-4
ENSMUSG00000001131,23.953550340276664,-2.016044507460354,0.5093160084409266,-3.958337209214555,7.547335407724352e-5,7.484357566676633e-4
ENSMUSG00000001228,1708.3368997123096,-2.8475065257362973,0.3116459095623675,-9.136993101353207,6.421287091348721e-20,4.8291497102580365e-18
ENSMUSG00000001288,332.3022111307105,1.0889639199707402,0.28867740433133254,3.7722520142964506,1.6178072842382984e-4,0.0014452850169353797
ENSMUSG00000001300,25.219654444520092,1.6943668069824034,0.6376014727564425,2.6574072981001957,0.007874424363942926,0.03726949005523847
ENSMUSG00000001403,658.2245331254702,-2.5207932672524422,0.22114502985269416,-11.398823970547996,4.2380521996106946e-30,7.353020566324555e-28
ENSMUSG00000001420,20.89756609249085,-1.1314423938516553,0.4015398128314537,-2.817758931233497,0.004836010388539383,0.02514496568741337
ENSMUSG00000001435,11.294755337465311,2.6343748256953763,0.7227702683697077,3.644830094682111,2.675685102749597e-4,0.0022320698290714583
ENSMUSG00000001440,6127.33533389831,-1.0516560896640859,0.08912944818275419,-11.799198930388673,3.940446707735506e-32,7.49404763772121e-30
ENSMUSG00000001444,4.821993228462923,2.535012939856011,0.9603471515219572,2.6396839266285372,0.008298338068355265,0.03877458744483789
ENSMUSG00000001467,1770.2672834087678,-1.3339275694831763,0.13572513046237086,-9.828154630899407,8.516498708218033e-23,8.682877729373426e-21
ENSMUSG00000001517,1086.1225351174398,-2.544337243727062,0.2536396694172055,-10.031306418168942,1.1103759071271809e-23,1.233827250958905e-21
ENSMUSG00000001525,16730.269709864075,-1.4713717801417967,0.11939316487679423,-12.323752215297702,6.747990441445267e-35,1.5702176816628934e-32
ENSMUSG00000001911,1639.6802614543194,1.1137075520544888,0.24888793928283456,4.474734915896745,7.650617031473423e-6,9.72007644341225e-5
ENSMUSG00000002033,14.657544222395543,1.4999796590569785,0.5215124190808622,2.8762108133505477,0.004024808061167804,0.02172078544115634
ENSMUSG00000002055,693.8054182369626,-2.624002834078203,0.2756525874347996,-9.51923890320406,1.744520161527909e-21,1.5684029215845686e-19
ENSMUSG00000002068,329.24731943618804,-2.696662325857044,0.325872684223276,-8.275202115466021,1.2823790687287276e-16,6.8924390218438865e-15
ENSMUSG00000002274,191.99884933865158,-1.4679213802657953,0.16892047246860833,-8.69001464898572,3.623927577240301e-18,2.2382741843485954e-16
ENSMUSG00000002297,782.8711507020046,-1.4253931574270067,0.1567718012663078,-9.092152708035137,9.709719351390203e-20,7.112908853746179e-18
ENSMUSG00000002477,925.9508854043111,-1.0350414472878222,0.07982208135992575,-12.966856158770364,1.8860878767237693e-38,6.016924534470876e-36
ENSMUSG00000002504,384.02712299931443,1.3245242684313645,0.24642959745098642,5.374858710690406,7.664275725998481e-8,1.4233963341269855e-6
ENSMUSG00000002718,1392.3213750210987,-1.065950836882175,0.12716051942417622,-8.382718486124023,5.1719070042943646e-17,2.8896934643485378e-15
ENSMUSG00000002748,3307.4375498092313,-1.0107152677068505,0.1478508004484452,-6.836048669613267,8.140729660941016e-12,2.5803764737780824e-10
ENSMUSG00000002771,33.62606987986341,1.1379528051522416,0.30095753855347535,3.781107496498366,1.5613223419721621e-4,0.0013998818949169263
ENSMUSG00000002835,731.9610016385824,-2.6078996786430366,0.16410184360802613,-15.891958440590523,7.204120059619016e-57,6.476831393600206e-54
ENSMUSG00000002870,1580.1080471528212,-2.5147111892770253,0.2581673885119265,-9.740622949210541,2.0231030724965118e-22,1.9961990654482748e-20
ENSMUSG00000002885,251.32568795293432,2.0499947726479757,0.39910594159051,5.13646768694641,2.799504590686286e-7,4.6845517173590565e-6
ENSMUSG00000002985,1663.2387255634612,1.6337886826334016,0.2776185732373698,5.885012171849458,3.980246988135316e-9,9.017789825696268e-8
ENSMUSG00000003352,39.467378466952894,-2.1815432936482444,0.3886571276505563,-5.613027880990469,1.9881654986874028e-8,4.0415134016997063e-7
ENSMUSG00000003379,43.59896082168045,1.6521725610535034,0.5208282594025585,3.1722022206489116,0.00151287621453919,0.009798028371765109
ENSMUSG00000003420,6685.194192771034,1.4208369604321653,0.2208628833393245,6.433117864576869,1.2501263408249296e-10,3.424688212628294e-9
ENSMUSG00000003452,140.96648307075725,1.330161549081327,0.3513390059029855,3.78597743698467,1.531055672342998e-4,0.00137399047836988
ENSMUSG00000003477,14.939715018869238,2.1829361897355923,0.5180396661819241,4.213839850960357,2.510653395988148e-5,2.8023822527793214e-4
ENSMUSG00000003779,1114.1151370532948,-2.4053639873456416,0.21537354511142878,-11.168335396537062,5.826249413700105e-29,9.683814046518855e-27
ENSMUSG00000003824,305.6231158382687,-1.5494345782214265,0.1276451789220674,-12.13860634068616,6.593956814352137e-34,1.4023857186136658e-31
ENSMUSG00000003882,71.22253981930552,1.6048945595678425,0.372249505572646,4.311341010645455,1.6226742857921644e-5,1.907003844247369e-4
ENSMUSG00000004044,27.959229464088132,1.3264252789352307,0.29869236384327497,4.440773985207104,8.963589986302963e-6,1.1192603935548378e-4
ENSMUSG00000004099,3643.5022347333215,-1.8396826336499557,0.15499448075484665,-11.86934286105171,1.7080397815829462e-32,3.378331883992909e-30
ENSMUSG00000004151,12.575530965075407,1.5096767347469175,0.581156164880229,2.5977126734223805,0.009384698499897676,0.04278929267622778
